epoch,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
407,,-0.3656405990016639,100,78,1506,7,0,891,64.99
408,,-0.3979328165374677,101,92,1858,17,0,1221,61.62
409,,-0.37949101796407186,102,82,1646,12,0,1014,65.43
410,20.098731994628906,-0.3754243041412084,100,79,1813,8,0,1125,67.97
411,,-0.38364553314121036,100,79,1209,84,0,1483,63.41
412,,-0.359402460456942,100,78,951,30,0,1295,61.65
413,,-0.36756960120391274,100,84,1156,77,0,1425,62.06
414,,-0.3647672552166934,101,78,1162,51,0,1279,61.41
415,17.274494171142578,-0.3645833333333333,102,76,1203,62,0,1423,60.08
416,,-0.36106687898089174,100,77,1128,97,0,1287,60.9
417,,-0.3504117108874657,100,83,984,130,0,1072,57.78
418,,-0.38058114812189936,100,84,1202,109,0,1511,62.9
419,,-0.35583333333333333,100,79,1005,114,0,1281,63.02
420,32.24201202392578,-0.39063523248199084,100,82,1317,69,0,1668,63.07
421,,-0.3641304347826087,100,84,1116,567,0,709,58.23
422,,-0.37209302325581395,101,80,1048,522,0,752,54.7
423,,-0.37035541195476573,101,83,1138,544,0,794,57.89
424,,-0.3660159716060337,100,81,1052,534,0,668,57.16
425,37.19060516357422,-0.3572056239015817,102,79,1081,580,0,615,63.56
426,,-0.35395458104933436,101,76,1084,197,0,1273,62.65
427,,-0.37623413258110017,101,85,1279,143,0,1414,69.15
428,,-0.3508771929824561,101,77,1037,144,0,1213,58.22
429,,-0.37398042414355626,100,79,1084,187,0,1181,59.25
