episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
296,2.2865805625915527,-0.36316696829263256,52,18,87,82,3,0,2,34.14,0.05
297,,-0.9603704561994048,50,28,89,85,1,0,3,34.22,0.05
298,1.7960991859436035,-1.3065725421438854,51,31,83,74,3,0,6,32.74,0.05
299,,-0.26379850396643956,50,17,95,86,6,0,3,33.38,0.05
300,2.2564516067504883,-0.19561203574955188,50,18,106,100,4,0,2,35.51,0.05
301,,-1.5779337958053457,50,31,74,63,5,0,6,32.34,0.05
302,2.75962495803833,-0.9125658022756431,50,23,76,70,3,0,3,30.39,0.05
303,,-0.8160563122091387,50,21,72,69,2,0,1,32.14,0.05
304,2.1354966163635254,-0.01553823158681332,50,16,113,107,3,0,3,36.69,0.05
305,,-0.4746073657911378,51,23,103,96,4,0,3,34.06,0.05
306,2.0698604583740234,-0.22488387570379714,50,18,98,92,4,0,2,36.12,0.05
307,,-0.25685665270738034,50,20,108,88,11,0,9,38.54,0.05
308,2.04145884513855,-0.8524088162739331,50,22,76,70,2,0,4,36.2,0.05
309,,-0.6358833507500987,50,27,108,96,8,0,4,33.68,0.05
310,1.691037654876709,-0.8277709271064259,53,24,84,74,5,0,5,32.46,0.05
311,,-0.2005145593436625,50,14,75,69,2,0,4,37.91,0.05
312,2.307551860809326,-0.5571080829992227,50,19,78,71,4,0,3,33.15,0.05
313,,-0.7307505682326522,50,21,78,73,2,0,3,32.91,0.05
314,2.233198404312134,-0.8946175078753014,50,26,85,83,2,0,0,33.93,0.05
315,,-0.4343296929263972,50,19,82,76,2,0,4,34.42,0.05
316,2.0633859634399414,-0.18554424255677388,50,16,98,95,2,0,1,32.96,0.05
317,,-0.28837756270059406,51,23,123,112,4,0,7,35.85,0.05
318,2.160268783569336,-0.7467052985680616,51,25,95,84,5,0,6,34.23,0.05
319,,-0.2770428559519052,50,18,103,95,4,0,4,39.42,0.05
320,2.613776206970215,-0.6243919030969065,51,21,81,76,3,0,2,37.29,0.05
321,,-0.13901498386209749,50,15,90,79,7,0,4,34.08,0.05
322,2.3902740478515625,-0.18434583874284935,52,17,92,79,9,0,4,33.48,0.05
323,,-0.45468513475230554,50,20,85,82,1,0,2,34.23,0.05
324,2.121526002883911,-0.8152975104365007,51,20,71,69,0,0,2,30.55,0.05
325,,-0.9951627966721647,50,27,84,72,9,0,3,31.38,0.05
326,2.614778757095337,-0.4309253722055461,51,18,88,82,3,0,3,33.03,0.05
