episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1888,3.7527027130126953,-1.4777006481907,51,42,106,77,0,0,29,55.04,0.05
1889,,-0.9202631009060207,50,41,131,90,0,0,41,67.34,0.05
1890,3.3907089233398438,-0.9280446765447241,51,33,105,69,4,0,32,59.2,0.05
1891,,-1.1597971661848108,50,35,99,78,2,0,19,41.84,0.05
1892,3.3126392364501953,-1.4586750268045607,51,39,97,72,5,0,20,37.18,0.05
1893,,-0.7864159375952612,50,32,112,81,2,0,29,44.23,0.05
1894,3.098872661590576,-0.6440993721996741,50,41,156,106,3,0,47,60.54,0.05
1895,,-1.4804113725090091,50,42,104,81,0,0,23,42.92,0.05
1896,3.531338930130005,-0.12639826603779844,50,32,178,145,3,0,30,62.43,0.05
1897,,-1.2118268233692702,50,36,102,76,1,0,25,41.1,0.05
1898,3.2489466667175293,-1.0210522197246834,51,38,117,85,3,0,29,50.77,0.05
1899,,-0.9983735557272336,50,36,112,87,4,0,21,44.49,0.05
1900,2.9682579040527344,-1.0112727737854559,50,43,131,96,0,0,35,64.06,0.05
1901,,-0.7701900365353017,50,42,149,121,2,0,26,57.94,0.05
1902,3.2062439918518066,-0.539758894038524,50,43,175,131,1,0,43,75.65,0.05
1903,,-1.9963254218268764,51,39,79,61,2,0,16,40.35,0.05
1904,3.4781904220581055,-0.7772512750202243,50,38,131,95,1,0,35,61.71,0.05
1905,,-2.2082463364734295,50,48,92,72,0,0,20,72.12,0.05
1906,3.0803284645080566,-0.9873046219761568,50,42,131,112,3,0,16,65.43,0.05
1907,,-1.7026214028091826,50,44,99,77,1,0,21,58.97,0.05
1908,3.045098304748535,-1.2425698838852666,51,34,96,69,0,0,27,36.23,0.05
1909,,-1.7013605045260138,51,38,86,66,1,0,19,35.84,0.05
1910,3.3453848361968994,-1.496028111595344,52,38,93,75,0,0,18,38.98,0.05
1911,,-1.6055878530572851,50,43,105,82,2,0,21,45.39,0.05
1912,3.6481168270111084,-1.255904599287706,50,42,115,76,0,0,39,85.6,0.05
1913,,-0.7966075191191361,50,40,138,91,2,0,45,63.76,0.05
1914,2.935147285461426,-0.9291219164374671,51,31,99,76,1,0,22,43.88,0.05
1915,,-1.4384178464843609,50,37,95,80,1,0,14,37.11,0.05
1916,3.0724964141845703,-1.8639385169980802,52,43,93,65,2,0,26,63.81,0.05
1917,,-1.1356573717370861,50,46,133,89,3,0,41,63.39,0.05
1918,3.4013872146606445,-0.3189962593945767,51,39,187,129,1,0,57,89.34,0.05
1919,,-1.7628672395623863,51,41,93,73,2,0,18,37.68,0.05
1920,3.7713189125061035,-0.6401906896844762,50,33,125,74,2,0,49,44.66,0.05
1921,,-1.0451502087000777,50,29,88,67,0,0,21,35.2,0.05
1922,2.7417008876800537,-1.4718396073734406,50,47,116,87,4,0,25,39.11,0.05
1923,,-0.6678055821983949,50,31,118,80,2,0,36,44.3,0.05
1924,3.3675262928009033,-0.9157312706495689,50,37,118,82,5,0,31,73.36,0.05
1925,,-1.480005702656107,50,37,94,73,1,0,20,53.63,0.05
1926,3.259164810180664,-0.9553923215833795,53,32,104,81,3,0,20,44.92,0.05
1927,,-1.0350954309428002,50,34,103,80,3,0,20,37.42,0.05
1928,3.9647343158721924,-1.6228050056444385,50,43,102,82,3,0,17,41.28,0.05
1929,,-1.2713532472994098,50,34,92,68,2,0,22,43.1,0.05
1930,3.18451189994812,-0.3913290713183571,53,33,152,121,1,0,30,68.48,0.05
1931,,-2.0338170172072627,50,43,88,76,1,0,11,37.77,0.05
1932,3.005917549133301,-1.0101054817572768,51,38,119,87,0,0,32,42.52,0.05
1933,,-0.8522311169227815,50,34,114,84,3,0,27,42.45,0.05
1934,2.8724324703216553,-1.4095761598610346,51,42,107,86,2,0,19,42.35,0.05
1935,,-1.3479564586226498,50,48,125,82,2,0,41,76.81,0.05
1936,4.3404860496521,-0.9964761394529025,50,41,128,91,1,0,36,46.2,0.05
1937,,-1.1001295608179276,51,39,116,90,1,0,25,50.08,0.05
